NO_OF_FRAMES	8609
NO_OF_CAMERAS	8
NO_OF_MARKERS	27
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-03-28, 10:20:11.323	92574.17520200
DATA_INCLUDED	3D
MARKER_NAMES	Top.Head	L.Acromium	R.Acromium	Sternum	L.ASIS	R.ASIS	L.PSIS	R.PSIS	V.Sacral	L.Thigh.Front	L.Knee.Lat	L.Knee.Med	L.Shank.Front	L.Ankle.Lat	L.Ankle.Med	L.Heel	L.Toe.Lat	L.Toe.Tip	R.Thigh.Front	R.Knee.Lat	R.Knee.Med	R.Shank.Front	R.Ankle.Lat	R.Ankle.Med	R.Heel	R.Toe.Lat	R.Toe.Tip
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Virtual	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured
Frame	Time	Top.Head X	Top.Head Y	Top.Head Z	L.Acromium X	L.Acromium Y	L.Acromium Z	R.Acromium X	R.Acromium Y	R.Acromium Z	Sternum X	Sternum Y	Sternum Z	L.ASIS X	L.ASIS Y	L.ASIS Z	R.ASIS X	R.ASIS Y	R.ASIS Z	L.PSIS X	L.PSIS Y	L.PSIS Z	R.PSIS X	R.PSIS Y	R.PSIS Z	V.Sacral X	V.Sacral Y	V.Sacral Z	L.Thigh.Front X	L.Thigh.Front Y	L.Thigh.Front Z	L.Knee.Lat X	L.Knee.Lat Y	L.Knee.Lat Z	L.Knee.Med X	L.Knee.Med Y	L.Knee.Med Z	L.Shank.Front X	L.Shank.Front Y	L.Shank.Front Z	L.Ankle.Lat X	L.Ankle.Lat Y	L.Ankle.Lat Z	L.Ankle.Med X	L.Ankle.Med Y	L.Ankle.Med Z	L.Heel X	L.Heel Y	L.Heel Z	L.Toe.Lat X	L.Toe.Lat Y	L.Toe.Lat Z	L.Toe.Tip X	L.Toe.Tip Y	L.Toe.Tip Z	R.Thigh.Front X	R.Thigh.Front Y	R.Thigh.Front Z	R.Knee.Lat X	R.Knee.Lat Y	R.Knee.Lat Z	R.Knee.Med X	R.Knee.Med Y	R.Knee.Med Z	R.Shank.Front X	R.Shank.Front Y	R.Shank.Front Z	R.Ankle.Lat X	R.Ankle.Lat Y	R.Ankle.Lat Z	R.Ankle.Med X	R.Ankle.Med Y	R.Ankle.Med Z	R.Heel X	R.Heel Y	R.Heel Z	R.Toe.Lat X	R.Toe.Lat Y	R.Toe.Lat Z	R.Toe.Tip X	R.Toe.Tip Y	R.Toe.Tip Z	
2209	11.04000	629.498	-424.976	1150.395	523.332	-275.811	938.224	527.437	-586.407	901.758	536.035	-426.118	852.914	248.505	-298.640	653.782	254.920	-522.297	642.422	89.891	-372.472	767.711	101.151	-479.140	765.545	95.521	-425.806	766.628	361.661	-300.404	556.880	415.190	-258.684	401.797	409.986	-377.488	389.974	457.378	-310.470	338.297	209.464	-234.940	107.341	240.755	-315.891	104.851	146.435	-290.447	98.273	290.132	-203.976	39.477	339.778	-254.107	49.891	378.870	-521.026	545.487	425.273	-569.426	403.190	427.013	-443.295	396.289	461.703	-541.924	328.947	213.639	-612.742	115.034	243.285	-534.156	106.193	150.836	-568.987	111.528	301.369	-654.251	38.440	350.108	-594.752	46.656
2210	11.04500	627.753	-424.237	1159.649	523.472	-275.690	946.198	527.584	-585.966	910.034	536.728	-425.956	860.917	250.027	-298.985	659.439	256.530	-522.172	647.244	91.408	-372.138	772.582	102.590	-478.811	770.366	96.999	-425.475	771.474	363.411	-300.355	558.745	414.971	-258.697	403.113	409.742	-377.558	391.351	456.976	-310.535	339.613	209.888	-234.875	107.859	241.893	-316.024	105.771	146.807	-290.502	99.152	290.278	-203.991	39.597	339.951	-254.098	49.841	380.215	-521.000	547.463	424.812	-569.301	404.615	426.811	-443.462	397.588	460.942	-541.671	330.458	213.949	-612.680	115.383	243.592	-534.193	106.565	151.227	-568.830	112.094	301.401	-654.190	38.463	350.296	-594.782	46.593
2211	11.05000	626.209	-423.077	1169.245	523.439	-275.388	954.437	527.592	-585.463	918.383	537.416	-425.757	869.257	251.708	-299.315	665.148	258.276	-521.914	652.399	93.015	-371.796	777.539	104.038	-478.444	775.236	98.526	-425.120	776.388	365.169	-300.367	560.603	414.655	-258.696	404.279	409.498	-377.628	392.727	456.649	-310.549	341.027	210.184	-234.971	108.227	241.453	-315.859	105.622	147.081	-290.605	99.957	290.334	-204.037	39.716	340.098	-254.145	49.726	381.504	-520.974	549.536	424.183	-569.326	405.901	426.518	-443.728	398.948	460.251	-541.908	331.689	214.215	-612.732	115.654	243.863	-534.284	106.931	151.496	-568.822	112.612	301.417	-654.169	38.460	350.408	-594.789	46.621
2212	11.05500	624.551	-422.537	1178.713	523.125	-275.045	962.874	527.498	-585.049	926.882	538.194	-425.367	877.837	253.277	-299.721	671.160	260.019	-521.554	657.805	94.558	-371.687	782.533	105.517	-478.155	780.321	100.037	-424.921	781.427	366.807	-300.324	562.444	414.165	-258.632	405.499	409.254	-377.697	394.104	456.070	-310.521	342.092	210.524	-235.042	108.655	241.817	-315.953	106.076	147.426	-290.747	100.666	290.404	-204.033	39.869	340.217	-254.187	49.620	382.804	-520.987	551.630	423.409	-569.476	407.299	426.107	-444.108	400.336	459.445	-542.270	333.077	214.410	-612.891	115.946	244.070	-534.477	107.307	151.766	-568.911	113.079	301.454	-654.221	38.452	350.486	-594.852	46.531
2213	11.06000	622.706	-422.002	1188.396	522.882	-274.838	971.593	527.414	-584.666	935.827	538.886	-425.249	886.563	255.027	-300.054	677.156	262.036	-520.994	662.851	96.295	-371.293	787.771	107.172	-477.801	785.581	101.734	-424.547	786.676	368.452	-300.241	564.404	413.633	-258.654	406.542	409.010	-377.767	395.480	455.436	-310.483	343.302	210.823	-235.152	109.045	242.110	-315.949	106.401	147.771	-290.933	101.377	290.437	-204.096	39.908	340.319	-254.185	49.552	384.041	-521.078	553.766	422.576	-569.665	408.680	425.551	-444.615	401.718	458.521	-542.804	334.472	214.568	-613.165	116.185	244.176	-534.798	107.670	151.974	-569.200	113.578	301.513	-654.335	38.406	350.540	-594.862	46.479
2214	11.06500	620.838	-421.548	1198.395	522.565	-274.635	980.615	527.251	-584.346	945.053	539.532	-425.059	895.752	256.691	-300.289	683.330	264.042	-520.759	668.754	98.009	-371.015	793.095	108.794	-477.431	791.006	103.401	-424.223	792.051	369.996	-300.203	566.380	413.016	-258.554	407.573	408.766	-377.837	396.857	454.621	-310.352	344.508	211.174	-235.217	109.429	242.457	-315.952	106.712	148.136	-291.039	102.034	290.513	-204.126	39.920	340.431	-254.198	49.451	385.592	-521.177	555.945	421.540	-569.996	410.065	424.823	-445.262	403.059	457.530	-543.407	335.929	214.766	-613.580	116.404	244.257	-535.212	108.167	152.189	-569.614	114.061	301.603	-654.436	38.338	350.552	-594.867	46.408
2215	11.07000	618.833	-421.189	1208.523	522.072	-274.474	989.972	527.108	-584.075	954.591	540.734	-425.534	903.441	258.445	-300.355	689.650	265.949	-520.492	674.975	99.741	-370.553	798.499	110.478	-477.065	796.520	105.110	-423.809	797.509	371.571	-300.147	568.497	412.257	-258.432	408.680	408.522	-377.906	398.233	453.757	-310.373	345.574	211.463	-235.244	109.877	242.842	-315.871	107.105	148.498	-291.021	102.717	290.558	-204.139	40.014	340.553	-254.177	49.373	386.836	-521.411	558.032	420.424	-570.429	411.569	423.896	-446.063	404.325	456.436	-544.106	337.407	215.096	-614.407	116.708	244.177	-535.686	108.482	152.344	-570.129	114.414	301.674	-654.597	38.265	349.797	-594.280	45.631
2216	11.07500	616.708	-420.867	1218.965	521.568	-274.250	999.634	526.965	-583.751	964.476	541.063	-425.719	913.324	260.344	-300.215	695.998	267.990	-520.141	681.406	101.504	-370.205	803.996	112.159	-476.674	802.157	106.831	-423.440	803.076	373.092	-300.046	570.651	411.439	-258.291	409.803	408.278	-377.976	399.609	452.770	-310.198	346.862	211.804	-235.183	110.283	243.904	-315.841	107.956	148.938	-290.947	103.572	290.638	-204.119	40.049	340.616	-254.142	49.298	387.991	-521.658	560.245	419.166	-571.963	413.247	423.114	-446.872	405.625	455.128	-544.906	338.987	215.272	-614.892	116.808	244.089	-536.141	108.819	152.422	-570.581	114.649	301.742	-654.747	38.176	349.822	-594.389	45.590
2217	11.08000	614.493	-420.487	1229.618	522.742	-274.773	1008.477	526.747	-583.328	974.652	541.429	-425.337	923.617	262.412	-300.031	702.310	270.044	-519.722	687.908	103.336	-369.633	809.659	113.874	-476.216	807.926	108.605	-422.924	808.792	374.657	-299.996	572.886	410.499	-258.045	411.005	408.034	-378.046	400.986	451.787	-309.962	348.221	212.167	-234.971	110.723	243.557	-315.442	108.149	149.368	-290.741	104.413	290.773	-204.090	40.046	340.761	-254.135	49.209	389.197	-522.060	562.485	417.788	-572.404	414.770	422.182	-447.774	407.060	453.730	-545.798	340.481	215.295	-615.328	116.814	243.911	-536.598	109.134	152.438	-571.020	114.860	301.769	-654.890	38.036	349.800	-594.495	45.576
2218	11.08500	612.076	-420.152	1240.526	520.520	-273.882	1019.544	526.526	-582.890	985.157	539.908	-425.035	934.029	264.597	-299.739	708.945	272.226	-519.375	694.555	105.096	-369.243	815.384	115.517	-475.688	813.821	110.307	-422.466	814.603	376.241	-299.979	575.126	409.514	-257.805	412.454	407.790	-378.115	402.362	450.686	-309.671	349.777	212.677	-234.638	111.231	243.919	-315.079	108.594	149.832	-290.394	105.264	290.916	-203.976	40.097	340.893	-254.004	49.087	390.277	-522.594	564.719	416.241	-573.021	416.476	420.954	-448.913	408.392	452.172	-546.819	342.176	215.236	-615.704	116.793	243.795	-536.940	109.368	152.451	-571.365	114.987	301.781	-655.053	37.962	349.755	-594.614	45.495
2219	11.09000	609.578	-419.683	1251.753	519.833	-273.727	1030.176	526.210	-582.225	995.902	540.104	-424.555	944.945	267.054	-299.449	715.646	274.388	-519.006	701.388	106.918	-368.749	821.131	117.212	-475.163	819.825	112.065	-421.956	820.478	377.769	-299.966	577.543	408.495	-257.500	414.185	406.775	-377.715	403.902	449.390	-309.472	351.331	213.134	-234.194	111.774	245.116	-314.843	109.668	150.340	-289.971	106.314	291.024	-203.876	40.052	341.035	-253.874	49.027	391.348	-523.298	567.051	414.707	-573.747	418.394	419.923	-450.066	409.774	450.431	-547.940	343.855	215.223	-615.963	116.762	243.624	-537.256	109.491	152.415	-571.613	115.024	301.788	-655.170	37.830	349.711	-594.716	45.470
2220	11.09500	606.869	-419.191	1263.224	519.260	-273.574	1040.961	525.859	-581.444	1007.029	540.378	-424.061	955.945	269.419	-299.213	722.326	276.842	-518.725	708.268	108.859	-368.099	827.164	118.962	-474.573	825.975	113.910	-421.336	826.569	379.285	-299.912	580.041	407.361	-257.190	416.157	405.699	-377.320	405.641	448.206	-309.227	353.251	213.685	-233.774	112.240	244.826	-314.209	109.990	150.877	-289.444	107.425	291.150	-203.726	40.021	341.193	-253.770	48.903	392.321	-524.146	569.459	412.777	-574.762	420.167	418.699	-451.440	411.441	448.501	-549.110	345.681	215.155	-616.114	116.750	243.432	-537.464	109.621	152.454	-571.619	115.043	301.752	-655.217	37.791	349.704	-594.785	45.477
2221	11.10000	603.998	-418.587	1274.968	518.486	-273.344	1052.158	525.456	-580.653	1018.221	540.619	-423.623	967.171	271.862	-298.831	729.256	279.293	-518.468	715.629	110.864	-367.471	833.333	120.762	-473.893	832.267	115.813	-420.682	832.800	380.770	-299.812	582.653	406.269	-256.882	418.371	404.525	-376.959	407.546	447.035	-308.747	355.342	214.375	-233.188	112.888	245.296	-313.790	110.731	151.514	-289.025	108.598	291.338	-203.550	40.041	341.359	-253.648	48.804	393.194	-525.209	571.901	409.997	-575.656	421.853	417.304	-452.909	413.303	446.480	-550.437	347.593	215.068	-616.043	116.676	243.250	-537.603	109.781	152.475	-571.519	115.054	301.697	-655.232	37.719	349.665	-594.848	45.460
2222	11.10500	600.964	-417.765	1286.978	517.743	-272.999	1063.611	524.961	-579.898	1029.618	540.890	-423.058	978.557	275.001	-298.320	736.122	281.847	-518.210	723.215	112.914	-366.761	839.573	122.584	-473.172	838.749	117.749	-419.966	839.161	382.262	-299.671	585.402	405.024	-256.534	420.689	403.366	-376.581	409.735	445.828	-308.302	357.587	214.993	-232.716	113.521	245.585	-313.144	111.400	152.250	-288.579	109.951	291.510	-203.392	40.032	341.546	-253.492	48.707	394.033	-526.367	574.484	407.442	-576.887	423.780	415.489	-454.522	415.239	444.328	-551.811	349.695	215.033	-615.989	116.664	243.154	-537.649	109.895	152.587	-571.224	115.075	301.558	-655.236	37.685	349.632	-594.873	45.383
2223	11.11000	597.894	-416.944	1299.303	517.113	-272.913	1075.052	524.398	-579.137	1041.159	541.138	-422.696	990.219	278.093	-297.883	743.375	284.477	-518.027	731.085	115.073	-365.944	846.018	124.448	-472.424	845.299	119.761	-419.184	845.658	383.740	-299.481	588.194	403.858	-256.148	423.137	402.173	-376.169	411.933	444.522	-307.808	360.095	215.786	-232.224	114.370	245.522	-312.553	112.093	153.094	-288.216	111.359	291.658	-203.330	40.053	341.758	-253.407	48.552	394.715	-527.715	577.155	404.789	-578.328	425.923	413.945	-456.094	417.496	441.963	-553.230	351.975	214.994	-615.767	116.664	243.278	-537.612	110.141	152.732	-570.910	115.248	301.447	-655.219	37.626	349.917	-594.827	45.243
2224	11.11500	594.652	-416.010	1311.830	516.125	-272.520	1087.073	523.756	-578.490	1052.868	541.439	-422.215	1002.038	281.038	-297.631	750.885	287.218	-517.769	739.153	117.238	-365.271	852.606	126.433	-471.672	852.101	121.835	-418.472	852.353	385.240	-299.183	591.192	402.551	-255.667	425.818	398.213	-375.136	412.825	443.160	-307.353	362.664	217.034	-232.160	115.075	245.301	-311.965	112.540	153.879	-287.874	113.208	291.919	-203.261	40.136	341.972	-253.319	48.456	395.331	-529.200	579.972	401.861	-579.857	428.106	415.244	-457.248	421.497	439.553	-554.749	354.432	215.061	-615.522	116.780	243.767	-537.634	110.376	153.003	-570.527	115.486	301.322	-655.157	37.615	350.105	-594.870	45.146
2225	11.12000	591.357	-415.040	1324.599	515.084	-272.149	1099.450	522.997	-577.903	1064.803	541.685	-421.788	1014.154	284.232	-297.493	758.760	289.990	-517.512	747.534	119.576	-364.453	859.480	128.464	-470.843	858.988	124.020	-417.648	859.234	386.730	-298.789	594.270	401.103	-255.141	428.596	398.354	-375.217	416.333	441.654	-306.751	365.577	218.080	-231.801	116.089	245.095	-311.351	112.924	154.952	-287.762	114.927	292.129	-203.216	40.279	342.269	-253.265	48.308	395.815	-530.670	583.013	398.753	-581.514	430.584	413.420	-459.049	424.261	437.061	-556.419	357.159	215.236	-615.337	117.030	245.701	-537.588	110.930	153.373	-570.078	115.922	301.299	-655.146	37.596	350.031	-594.918	45.045
2226	11.12500	588.018	-414.116	1337.594	513.589	-271.840	1111.771	522.806	-576.789	1076.809	541.927	-421.381	1026.647	287.425	-297.359	767.062	292.931	-517.282	756.159	121.971	-363.706	866.462	130.572	-470.034	866.149	126.271	-416.870	866.305	388.089	-298.258	597.456	399.558	-254.491	431.466	398.235	-375.056	420.109	440.130	-306.195	368.593	219.206	-231.519	117.147	244.904	-310.837	112.951	156.179	-287.535	116.754	292.383	-203.192	40.423	342.541	-253.214	48.232	396.289	-532.185	586.207	395.534	-583.168	433.412	411.306	-460.869	427.186	434.296	-558.198	360.116	215.507	-615.198	117.394	246.190	-537.649	111.511	153.875	-569.737	116.513	301.205	-655.087	37.648	350.012	-594.969	44.951
2227	11.13000	584.726	-413.132	1350.745	512.417	-271.653	1124.770	521.477	-576.255	1088.901	542.120	-420.933	1039.338	290.615	-297.277	775.643	295.960	-517.091	765.193	124.368	-362.987	873.484	132.766	-469.223	873.401	128.567	-416.105	873.443	389.432	-297.619	600.742	397.888	-253.772	434.597	397.141	-374.522	423.358	438.412	-305.614	371.862	220.339	-231.366	118.319	259.974	-312.116	121.811	158.220	-287.379	119.539	292.695	-203.202	40.594	343.074	-253.321	47.980	396.643	-533.694	589.560	392.123	-584.941	436.528	409.163	-462.787	430.342	431.492	-560.115	363.449	215.901	-615.117	117.819	246.726	-537.916	112.102	154.473	-569.535	117.428	301.278	-655.110	37.681	349.980	-595.079	44.837
2228	11.13500	581.467	-412.184	1364.143	511.040	-271.549	1138.115	520.412	-575.940	1101.798	542.142	-420.668	1052.543	293.899	-297.224	784.483	299.083	-516.870	774.458	126.877	-362.234	880.835	135.080	-468.446	880.830	130.979	-415.340	880.832	390.657	-296.904	604.090	396.116	-252.942	437.865	395.601	-373.861	426.682	436.758	-304.887	375.430	221.449	-231.152	119.432	260.681	-311.720	122.442	159.434	-287.184	121.298	293.003	-203.232	40.767	343.563	-253.460	47.744	396.818	-535.241	593.077	388.717	-586.622	439.853	406.709	-464.731	433.592	428.434	-562.070	366.968	216.387	-615.234	118.438	247.397	-538.278	112.936	155.260	-569.488	118.518	301.344	-655.166	37.711	350.063	-595.190	44.676
2229	11.14000	578.275	-411.295	1377.720	509.564	-271.467	1151.910	519.403	-575.754	1114.993	542.086	-420.366	1065.933	297.197	-297.058	793.475	302.389	-516.789	783.959	129.478	-361.619	888.255	137.403	-467.671	888.466	133.441	-414.645	888.361	391.790	-296.033	607.541	394.014	-252.025	441.249	394.044	-373.078	430.307	434.746	-304.131	379.075	222.745	-230.855	120.587	261.708	-311.255	123.348	160.678	-286.944	123.138	293.352	-203.246	40.954	343.723	-253.294	47.778	396.909	-536.741	596.695	385.041	-588.357	443.391	404.217	-466.792	437.213	425.189	-564.041	370.832	217.137	-615.549	119.182	248.033	-538.728	113.899	156.134	-569.602	119.738	301.423	-655.273	37.719	350.219	-595.306	44.477
2230	11.14500	575.193	-410.473	1391.534	507.891	-271.482	1166.022	517.777	-575.773	1128.543	541.874	-419.954	1079.742	300.768	-296.846	802.741	305.747	-516.579	793.600	132.117	-360.792	895.963	139.857	-466.954	896.198	135.987	-413.873	896.080	392.716	-294.995	611.115	391.709	-250.918	444.983	392.457	-372.174	434.040	432.464	-303.153	382.877	224.051	-230.391	121.801	262.562	-310.620	124.433	161.994	-286.655	124.974	293.723	-203.205	41.205	343.887	-253.169	47.850	396.975	-538.194	600.567	381.247	-590.085	447.413	401.445	-468.864	440.800	421.670	-566.121	374.941	217.846	-616.007	119.918	248.827	-539.370	114.901	157.080	-569.831	121.292	301.610	-655.374	37.671	350.398	-595.457	44.295
2231	11.15000	572.212	-409.772	1405.583	506.142	-271.501	1180.377	516.632	-575.316	1142.589	541.583	-419.597	1093.848	304.322	-296.603	812.236	309.222	-516.353	803.572	134.899	-360.163	903.646	142.522	-466.324	904.175	138.710	-413.244	903.910	393.476	-293.978	614.736	389.214	-249.678	448.854	390.604	-371.128	437.904	429.982	-301.996	386.993	225.427	-229.827	122.944	263.393	-309.914	125.458	163.628	-287.092	126.563	294.089	-203.167	41.380	344.277	-253.076	47.818	396.699	-539.700	604.555	377.138	-591.859	451.699	398.601	-471.026	444.718	417.924	-568.088	379.291	218.812	-616.601	120.804	249.645	-540.164	116.121	158.194	-570.244	122.924	301.747	-655.527	37.725	350.575	-595.588	44.045
2232	11.15500	569.365	-409.122	1419.854	504.248	-271.620	1194.954	515.378	-574.754	1157.030	541.150	-419.224	1108.220	308.104	-296.361	821.998	312.919	-516.237	813.589	137.692	-359.729	911.544	145.255	-465.717	912.335	141.474	-412.723	911.940	394.059	-292.782	618.415	383.937	-248.051	450.800	389.578	-370.306	442.237	427.116	-300.594	391.099	226.901	-229.197	124.190	264.432	-309.027	126.673	165.186	-286.766	128.660	294.513	-203.109	41.531	344.679	-252.999	47.799	396.269	-541.173	608.753	372.893	-593.548	456.213	395.635	-473.256	448.923	413.852	-570.094	384.025	219.718	-617.280	121.833	250.491	-541.057	117.521	159.411	-570.737	124.779	301.949	-655.717	37.701	350.790	-595.767	43.775
2233	11.16000	566.696	-408.489	1434.398	502.327	-271.295	1210.287	514.075	-574.045	1171.855	540.620	-418.771	1122.833	311.927	-296.107	831.897	316.695	-516.166	823.728	140.707	-359.174	919.478	148.042	-465.144	920.647	144.374	-412.159	920.063	394.356	-291.456	622.170	381.235	-246.478	455.554	387.352	-368.846	446.322	423.937	-299.021	395.503	228.654	-228.272	125.569	265.395	-308.101	127.860	166.793	-286.238	130.875	294.936	-203.000	41.679	345.047	-252.901	47.723	395.639	-542.652	613.120	368.270	-595.230	461.062	392.245	-475.526	453.253	409.325	-572.132	389.010	220.863	-618.113	122.975	251.461	-542.015	119.080	160.806	-571.352	126.870	302.191	-655.892	37.698	351.015	-595.958	43.467
2234	11.16500	563.921	-407.879	1449.006	500.194	-271.167	1225.205	512.627	-573.406	1187.047	539.959	-418.261	1137.837	315.939	-295.819	842.158	320.680	-516.104	834.189	143.816	-358.698	927.651	151.052	-464.651	929.029	147.434	-411.674	928.340	394.433	-290.070	626.011	378.099	-244.977	460.454	384.777	-367.113	450.580	420.271	-297.148	400.122	230.318	-227.351	126.810	266.519	-306.958	129.208	168.514	-285.544	133.206	295.765	-202.193	42.476	345.587	-252.491	47.912	394.743	-544.075	617.520	363.361	-596.831	466.196	388.587	-477.823	458.007	404.425	-574.026	394.214	222.047	-619.035	124.264	252.479	-543.141	120.426	162.363	-572.153	129.119	302.444	-656.089	37.726	351.215	-596.124	43.174
2235	11.17000	561.617	-407.224	1463.960	497.877	-270.901	1240.024	511.057	-572.561	1202.373	539.200	-417.842	1153.088	320.037	-295.516	852.565	324.811	-515.952	844.617	147.361	-357.784	936.162	154.275	-464.297	937.536	150.818	-411.040	936.849	394.221	-288.534	629.800	374.192	-243.385	465.262	381.808	-365.134	454.783	416.152	-294.943	404.961	231.681	-226.380	127.866	267.779	-305.760	130.645	170.385	-284.522	135.764	295.875	-202.615	41.988	345.871	-252.630	47.604	393.568	-545.547	622.190	358.018	-598.344	471.387	384.515	-480.176	462.998	399.104	-575.888	399.703	223.490	-620.123	125.662	253.181	-544.131	122.491	164.056	-573.011	131.686	302.787	-656.318	37.797	351.392	-596.303	42.888
2236	11.17500	559.501	-406.550	1479.015	495.500	-270.507	1254.834	510.049	-572.187	1217.704	538.334	-417.370	1168.553	324.260	-295.386	863.107	329.178	-515.931	855.314	150.850	-357.441	944.511	157.613	-463.866	946.135	154.231	-410.654	945.323	393.667	-286.945	633.574	369.202	-241.747	469.870	378.266	-363.021	459.138	411.563	-292.658	409.968	233.454	-225.064	129.272	269.122	-304.403	132.128	172.438	-283.338	138.544	296.847	-201.651	42.829	346.412	-252.136	47.832	392.020	-546.904	626.965	352.083	-599.814	476.978	379.852	-482.411	468.320	393.439	-577.615	405.479	225.080	-621.428	127.321	255.210	-545.675	124.271	166.034	-574.069	134.446	303.148	-656.631	37.923	351.492	-596.488	42.677
2237	11.18000	557.627	-405.822	1494.189	492.940	-269.993	1269.705	508.153	-571.461	1233.194	537.576	-415.940	1184.422	328.624	-295.111	873.740	333.933	-515.929	866.245	154.518	-357.164	953.018	161.268	-463.485	954.761	157.893	-410.324	953.890	392.793	-285.402	637.604	363.380	-240.095	474.643	374.149	-360.802	463.592	406.366	-290.186	415.128	235.392	-223.513	130.818	270.712	-302.872	133.856	174.665	-281.806	141.610	297.464	-201.221	43.139	346.882	-251.897	47.780	390.324	-548.270	631.976	345.626	-600.958	482.488	370.688	-484.719	471.809	387.143	-579.280	411.441	226.899	-622.825	129.082	256.091	-547.023	126.397	168.272	-575.305	137.705	303.626	-656.934	38.020	351.632	-596.688	42.597
2238	11.18500	556.229	-405.103	1509.295	490.332	-269.359	1284.648	505.196	-570.586	1249.035	536.391	-415.410	1200.184	333.136	-295.011	884.371	338.979	-516.034	877.250	158.357	-356.865	961.638	165.176	-463.120	963.383	161.766	-409.992	962.511	391.465	-283.734	641.680	356.915	-238.480	479.564	369.254	-358.515	468.149	400.592	-287.692	420.617	237.049	-222.150	131.733	272.493	-301.140	135.985	177.316	-280.035	145.194	297.871	-201.408	42.847	347.367	-251.934	47.581	388.337	-549.554	636.922	338.533	-602.122	488.339	366.325	-486.380	478.012	380.512	-580.797	417.668	229.074	-624.510	131.259	257.855	-548.632	128.870	170.847	-576.772	141.420	304.152	-657.311	38.226	351.738	-596.918	42.576
2239	11.19000	554.513	-404.216	1524.484	487.611	-268.693	1299.501	503.013	-569.998	1264.617	535.025	-414.808	1216.077	337.755	-294.807	895.034	344.181	-516.039	888.127	162.467	-356.584	970.304	169.394	-462.878	972.146	165.930	-409.731	971.225	389.718	-282.058	646.143	349.604	-237.022	484.603	363.472	-356.394	472.896	394.151	-285.338	426.566	239.597	-220.270	133.779	274.611	-299.216	138.512	180.201	-278.002	149.043	299.205	-200.198	44.037	348.257	-251.363	47.935	386.169	-550.668	642.028	330.848	-603.027	494.194	362.342	-487.684	485.009	373.399	-582.065	424.103	231.647	-626.373	133.777	260.233	-550.531	131.426	174.010	-578.429	145.671	304.794	-657.749	38.521	352.066	-597.198	42.617
2240	11.19500	553.215	-403.489	1539.519	485.096	-268.323	1314.249	500.562	-569.369	1280.055	533.512	-414.242	1231.964	342.589	-294.600	905.590	349.246	-515.923	898.704	166.854	-356.380	979.146	173.900	-462.562	980.821	170.377	-409.471	979.984	387.709	-280.517	650.928	341.368	-235.617	489.865	356.686	-354.562	477.990	387.238	-283.163	432.668	242.540	-218.383	136.030	277.091	-297.066	141.349	183.511	-275.767	153.450	300.111	-199.405	44.631	349.164	-250.960	48.181	383.729	-551.711	647.110	322.509	-603.808	500.300	354.880	-488.780	490.460	365.848	-583.022	430.847	234.700	-628.467	136.844	263.816	-552.300	134.693	177.801	-580.243	150.698	305.554	-658.265	39.110	352.560	-597.543	42.747
2241	11.20000	552.154	-402.685	1554.423	482.143	-267.879	1328.976	498.022	-568.651	1295.392	531.788	-413.684	1247.744	347.598	-294.522	916.063	354.394	-515.607	908.987	171.313	-356.212	988.004	178.804	-462.389	989.522	175.059	-409.300	988.763	385.423	-279.031	656.114	332.320	-234.370	495.487	348.899	-353.139	483.384	379.725	-281.403	439.291	245.914	-216.345	138.813	274.962	-294.857	141.118	187.148	-273.952	158.444	301.357	-198.730	45.654	350.387	-250.498	48.484	380.989	-552.559	652.381	313.655	-604.165	506.716	346.692	-489.302	495.907	357.803	-583.713	438.046	238.152	-630.461	140.403	266.559	-554.750	138.279	182.381	-582.179	156.556	306.534	-658.772	39.978	353.485	-597.965	43.049
2242	11.20500	551.230	-401.871	1569.023	479.034	-267.558	1343.452	495.446	-567.827	1310.450	529.890	-413.153	1263.373	352.608	-294.493	926.332	359.587	-515.029	918.856	176.130	-356.095	996.846	183.915	-462.200	998.248	180.022	-409.148	997.547	383.001	-277.894	661.656	321.945	-233.740	501.305	340.261	-352.171	489.352	371.717	-280.022	446.309	249.685	-214.213	142.158	278.510	-292.530	144.649	191.698	-270.151	164.597	302.749	-198.043	47.205	351.941	-249.992	49.000	378.125	-553.096	658.064	304.280	-604.053	513.727	337.813	-489.455	501.353	349.501	-583.905	445.531	242.039	-631.694	143.797	270.822	-556.897	142.980	187.225	-584.123	163.607	307.879	-659.225	41.468	355.051	-598.432	43.691
