NO_OF_FRAMES	8609
NO_OF_CAMERAS	8
NO_OF_MARKERS	27
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-03-28, 10:20:11.323	92574.17520200
DATA_INCLUDED	3D
MARKER_NAMES	Top.Head	L.Acromium	R.Acromium	Sternum	L.ASIS	R.ASIS	L.PSIS	R.PSIS	V.Sacral	L.Thigh.Front	L.Knee.Lat	L.Knee.Med	L.Shank.Front	L.Ankle.Lat	L.Ankle.Med	L.Heel	L.Toe.Lat	L.Toe.Tip	R.Thigh.Front	R.Knee.Lat	R.Knee.Med	R.Shank.Front	R.Ankle.Lat	R.Ankle.Med	R.Heel	R.Toe.Lat	R.Toe.Tip
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Virtual	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured
Frame	Time	Top.Head X	Top.Head Y	Top.Head Z	L.Acromium X	L.Acromium Y	L.Acromium Z	R.Acromium X	R.Acromium Y	R.Acromium Z	Sternum X	Sternum Y	Sternum Z	L.ASIS X	L.ASIS Y	L.ASIS Z	R.ASIS X	R.ASIS Y	R.ASIS Z	L.PSIS X	L.PSIS Y	L.PSIS Z	R.PSIS X	R.PSIS Y	R.PSIS Z	V.Sacral X	V.Sacral Y	V.Sacral Z	L.Thigh.Front X	L.Thigh.Front Y	L.Thigh.Front Z	L.Knee.Lat X	L.Knee.Lat Y	L.Knee.Lat Z	L.Knee.Med X	L.Knee.Med Y	L.Knee.Med Z	L.Shank.Front X	L.Shank.Front Y	L.Shank.Front Z	L.Ankle.Lat X	L.Ankle.Lat Y	L.Ankle.Lat Z	L.Ankle.Med X	L.Ankle.Med Y	L.Ankle.Med Z	L.Heel X	L.Heel Y	L.Heel Z	L.Toe.Lat X	L.Toe.Lat Y	L.Toe.Lat Z	L.Toe.Tip X	L.Toe.Tip Y	L.Toe.Tip Z	R.Thigh.Front X	R.Thigh.Front Y	R.Thigh.Front Z	R.Knee.Lat X	R.Knee.Lat Y	R.Knee.Lat Z	R.Knee.Med X	R.Knee.Med Y	R.Knee.Med Z	R.Shank.Front X	R.Shank.Front Y	R.Shank.Front Z	R.Ankle.Lat X	R.Ankle.Lat Y	R.Ankle.Lat Z	R.Ankle.Med X	R.Ankle.Med Y	R.Ankle.Med Z	R.Heel X	R.Heel Y	R.Heel Z	R.Toe.Lat X	R.Toe.Lat Y	R.Toe.Lat Z	R.Toe.Tip X	R.Toe.Tip Y	R.Toe.Tip Z	
1945	9.72000	-144.943	-329.370	2080.185	-289.324	-188.012	1832.223	-282.504	-498.610	1830.260	-209.624	-344.411	1789.893	-191.457	-242.575	1392.535	-190.536	-456.500	1384.547	-379.213	-297.166	1432.711	-374.643	-403.250	1433.084	-376.928	-350.208	1432.897	-195.304	-267.481	1091.252	-280.567	-226.632	941.342	-296.634	-350.681	946.667	-245.788	-293.123	894.280	-352.204	-258.839	580.691	-323.887	-338.641	595.905	-407.110	-315.165	558.786	-248.714	-232.972	544.294	-207.942	-286.983	567.348	-155.077	-473.538	1103.400	-221.715	-525.302	957.986	-199.978	-404.152	948.765	-187.452	-499.505	882.644	-369.430	-528.757	608.122	-332.484	-452.632	613.633	-425.870	-479.020	601.031	-271.675	-569.972	542.454	-223.478	-511.560	557.499
1946	9.72500	-143.691	-328.560	2079.854	-288.370	-187.331	1832.015	-281.457	-497.993	1830.167	-208.715	-343.608	1789.581	-191.110	-241.834	1392.396	-190.339	-455.785	1384.462	-378.909	-296.330	1432.562	-374.431	-402.449	1432.892	-376.670	-349.390	1432.727	-195.123	-266.846	1091.068	-280.624	-226.040	941.250	-296.650	-350.128	946.744	-245.721	-292.556	894.302	-352.243	-258.836	580.630	-323.853	-338.544	595.831	-407.135	-315.148	558.723	-248.741	-232.912	544.282	-208.013	-286.881	567.392	-152.288	-473.445	1104.636	-217.232	-525.506	958.515	-195.494	-404.236	949.483	-183.029	-499.723	883.144	-367.517	-528.923	610.311	-330.719	-452.972	615.382	-424.147	-479.194	604.420	-271.012	-569.997	542.814	-222.627	-511.668	557.038
1947	9.73000	-142.480	-327.777	2079.523	-287.388	-186.564	1831.789	-280.302	-497.314	1830.093	-207.857	-343.015	1789.315	-190.792	-241.141	1392.247	-190.169	-455.080	1384.451	-378.595	-295.537	1432.502	-374.241	-401.642	1432.687	-376.418	-348.589	1432.594	-195.536	-266.052	1090.914	-280.683	-225.471	941.145	-296.404	-349.347	947.408	-245.666	-292.003	894.274	-352.289	-258.769	580.645	-323.922	-338.515	595.798	-407.159	-315.115	558.716	-248.780	-232.828	544.271	-208.021	-286.897	567.356	-149.495	-473.433	1105.922	-212.294	-525.648	959.347	-190.871	-404.262	950.417	-178.618	-499.949	883.766	-365.462	-529.129	612.693	-328.960	-453.255	617.238	-422.148	-479.344	607.891	-270.347	-570.011	543.230	-221.779	-511.810	556.591
1948	9.73500	-141.228	-326.945	2079.198	-286.428	-185.756	1831.606	-279.424	-496.434	1829.967	-206.937	-342.236	1789.022	-190.427	-240.473	1392.101	-190.004	-454.380	1384.421	-378.280	-294.728	1432.480	-373.993	-400.823	1432.519	-376.136	-347.775	1432.500	-195.358	-265.414	1090.779	-280.604	-224.991	941.010	-296.520	-349.086	946.814	-245.646	-291.604	894.195	-352.326	-258.782	580.645	-321.913	-338.192	594.132	-407.174	-315.114	558.667	-248.827	-232.797	544.285	-208.059	-286.811	567.395	-146.649	-473.390	1107.312	-207.437	-525.812	960.152	-186.157	-404.432	951.360	-174.190	-500.127	884.427	-363.260	-529.278	615.095	-327.290	-453.553	619.339	-420.057	-479.494	611.489	-269.576	-569.950	543.699	-220.791	-511.890	556.200
1949	9.74000	-139.978	-326.214	2078.894	-285.431	-185.037	1831.403	-278.520	-495.526	1829.922	-206.091	-341.485	1788.742	-190.051	-239.737	1391.919	-189.843	-453.718	1384.369	-377.970	-293.954	1432.409	-373.748	-400.063	1432.377	-375.859	-347.008	1432.393	-195.182	-264.762	1090.592	-280.529	-224.483	940.885	-296.469	-348.637	946.872	-245.486	-291.153	894.138	-352.311	-258.766	580.584	-321.798	-338.057	594.211	-407.180	-315.100	558.661	-248.818	-232.751	544.248	-208.052	-286.788	567.357	-143.765	-473.396	1108.713	-202.786	-525.969	960.918	-181.400	-404.573	952.324	-169.741	-500.358	885.162	-360.977	-529.415	617.580	-325.236	-453.813	621.150	-417.818	-479.636	615.103	-268.817	-569.887	544.166	-219.710	-512.003	555.750
1950	9.74500	-138.776	-325.406	2078.510	-284.431	-184.298	1831.220	-277.479	-494.838	1829.793	-205.154	-340.808	1788.568	-189.668	-239.123	1391.766	-189.630	-453.019	1384.354	-377.607	-293.174	1432.385	-373.438	-399.250	1432.224	-375.522	-346.212	1432.305	-194.884	-264.101	1090.442	-280.396	-224.039	940.724	-303.189	-347.264	944.674	-245.394	-290.757	894.013	-352.341	-258.768	580.622	-323.777	-338.451	595.587	-407.175	-315.083	558.613	-248.868	-232.701	544.284	-208.095	-286.736	567.366	-140.889	-473.482	1110.171	-197.876	-526.134	961.882	-176.483	-404.740	953.123	-165.257	-500.467	885.925	-358.592	-529.509	620.082	-323.135	-453.859	623.410	-415.475	-479.777	618.788	-267.964	-569.802	544.614	-218.493	-512.023	555.415
1951	9.75000	-137.558	-324.651	2078.185	-283.412	-183.529	1831.014	-276.472	-493.998	1829.754	-204.214	-340.042	1788.349	-189.296	-238.473	1391.614	-189.459	-452.359	1384.293	-377.261	-292.449	1432.359	-373.153	-398.514	1432.090	-375.207	-345.481	1432.225	-194.555	-263.467	1090.303	-280.238	-223.606	940.540	-301.050	-346.986	945.504	-245.326	-290.413	893.894	-352.328	-258.756	580.591	-323.675	-338.441	595.452	-407.858	-315.174	558.875	-248.895	-232.651	544.239	-208.922	-285.801	567.502	-138.005	-473.583	1111.682	-193.206	-526.322	962.864	-171.676	-404.980	954.102	-160.724	-500.567	886.729	-356.102	-529.610	622.449	-320.451	-454.122	625.452	-412.995	-479.810	622.422	-267.045	-569.660	545.110	-217.019	-511.910	554.948
1952	9.75500	-136.332	-323.852	2077.898	-282.360	-182.723	1830.860	-275.479	-493.297	1829.696	-203.330	-339.268	1788.090	-188.877	-237.892	1391.423	-189.212	-451.744	1384.224	-376.844	-291.695	1432.313	-372.781	-397.771	1431.974	-374.812	-344.733	1432.143	-194.114	-262.858	1090.151	-280.086	-223.176	940.341	-299.199	-346.631	946.095	-245.160	-290.112	893.707	-352.353	-258.767	580.566	-323.774	-338.418	595.494	-407.960	-315.120	558.935	-248.907	-232.583	544.214	-208.090	-286.584	567.228	-135.138	-473.708	1113.247	-188.648	-526.551	963.822	-166.785	-405.209	955.081	-156.304	-500.645	887.632	-353.497	-529.711	624.911	-318.219	-454.146	627.061	-410.404	-479.909	625.992	-266.428	-569.194	545.181	-215.353	-511.735	554.666
1953	9.76000	-135.156	-323.071	2077.582	-281.338	-182.012	1830.688	-274.473	-492.467	1829.624	-202.369	-338.535	1787.844	-188.411	-237.276	1391.201	-188.956	-451.100	1384.107	-376.420	-290.978	1432.284	-372.415	-397.054	1431.877	-374.417	-344.016	1432.080	-193.649	-262.236	1089.980	-279.859	-222.751	940.080	-297.748	-346.261	946.613	-245.031	-289.774	893.611	-352.384	-258.736	580.529	-323.664	-338.345	595.368	-407.802	-315.093	558.877	-248.950	-232.502	544.160	-208.096	-286.531	567.246	-132.331	-473.948	1114.747	-184.116	-526.799	964.854	-161.854	-405.435	956.108	-151.920	-500.691	888.529	-350.784	-529.741	627.326	-315.483	-454.261	628.721	-407.648	-479.920	629.538	-264.998	-569.265	545.754	-213.846	-511.774	554.040
1954	9.76500	-133.981	-322.282	2077.331	-280.262	-181.242	1830.512	-273.660	-491.661	1829.544	-201.362	-337.908	1787.659	-187.992	-236.647	1390.993	-188.633	-450.504	1384.017	-375.942	-290.278	1432.253	-372.029	-396.417	1431.793	-373.985	-343.348	1432.023	-193.200	-261.599	1089.790	-279.644	-222.307	939.897	-297.191	-345.938	946.638	-244.802	-289.381	893.402	-352.402	-258.675	580.477	-323.733	-338.281	595.421	-407.665	-315.016	558.847	-248.957	-232.427	544.104	-208.122	-286.444	567.198	-129.596	-474.178	1116.253	-179.756	-527.060	965.836	-157.010	-405.644	957.197	-147.684	-500.741	889.433	-347.494	-530.030	629.573	-312.750	-454.378	630.361	-405.003	-479.999	633.207	-263.788	-569.117	546.276	-213.455	-510.404	552.816
