NO_OF_SAMPLES	23345
FREQUENCY	1000
TIME_STAMP	2024-03-28, 16:25:31.372	8765.20812810
FIRST_SAMPLE	8291
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Kistler Force Plates
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	6157648
FORCE_PLATE_CORNER_POSX_POSY_X	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Y	-5.000000
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	-405.000001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	-405.000001
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	-5.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	600.000024
FORCE_PLATE_WIDTH	400.000006
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
8291	8.29000	0.036067	0.018034	-0.054101	-0.000000	0.000000	0.018034	0.000000	0.000000	0.000000	
8292	8.29100	0.036067	0.036067	-0.108202	-0.000000	0.000000	0.020198	0.000000	0.000000	0.000000	
8293	8.29200	0.036067	0.018034	-0.126236	-0.000000	0.000000	0.015148	0.000000	0.000000	0.000000	
8294	8.29300	0.018034	0.036067	-0.090169	-0.000000	0.000000	0.020919	0.000000	0.000000	0.000000	
8295	8.29400	0.018034	0.054101	-0.126236	-0.000000	0.000000	0.018755	0.000000	0.000000	0.000000	
8296	8.29500	0.018034	0.000000	-0.054101	-0.000000	0.000000	0.013706	0.000000	0.000000	0.000000	
8297	8.29600	0.036067	0.054101	-0.018034	-0.000000	0.000000	0.015148	0.000000	0.000000	0.000000	
8298	8.29700	0.036067	0.054101	-0.054101	-0.000000	0.000000	0.015148	0.000000	0.000000	0.000000	
8299	8.29800	0.000000	0.036067	-0.036067	-0.000000	0.000000	0.012984	0.000000	0.000000	0.000000	
8300	8.29900	0.036067	0.036067	-0.072135	-0.000000	0.000000	0.012984	0.000000	0.000000	0.000000	
8301	8.30000	0.036067	0.018034	0.000000	0.000000	-0.000000	0.010820	0.000000	0.000000	0.000000	
8302	8.30100	0.036067	0.036067	-0.036067	-0.000000	0.000000	0.008656	0.000000	0.000000	0.000000	
8303	8.30200	0.054101	0.036067	-0.018034	-0.000000	0.000000	0.020919	0.000000	0.000000	0.000000	
8304	8.30300	0.018034	0.018034	-0.036067	-0.000000	0.000000	0.018755	0.000000	0.000000	0.000000	
8305	8.30400	0.000000	-0.018034	-0.090169	-0.000000	0.000000	0.015148	0.000000	0.000000	0.000000	
8306	8.30500	0.018034	-0.036067	0.018034	-4.390358	-5.362205	0.013706	0.000000	0.000000	0.000000	
8307	8.30600	0.054101	0.018034	-0.018034	-0.000000	0.000000	0.015870	0.000000	0.000000	0.000000	
8308	8.30700	0.018034	0.000000	-0.054101	-0.000000	0.000000	0.018034	0.000000	0.000000	0.000000	
8309	8.30800	0.018034	0.018034	-0.018034	-0.000000	0.000000	0.015870	0.000000	0.000000	0.000000	
8310	8.30900	0.036067	0.054101	0.036067	-155.686569	70.311897	0.019476	0.000000	0.000000	0.000000	
8311	8.31000	0.036067	0.018034	0.054101	-0.536054	-0.031817	0.016591	0.000000	0.000000	0.000000	
8312	8.31100	0.036067	0.036067	0.000000	0.000000	-0.000000	0.014427	0.000000	0.000000	0.000000	
8313	8.31200	0.036067	0.018034	0.018034	-175.301300	142.823227	0.023804	0.000000	0.000000	0.000000	
8314	8.31300	0.036067	0.036067	0.018034	0.009734	-0.028871	0.021640	0.000000	0.000000	0.000000	
8315	8.31400	0.000000	0.018034	-0.036067	-0.000000	0.000000	0.019476	0.000000	0.000000	0.000000	
8316	8.31500	0.000000	0.018034	-0.108202	-0.000000	0.000000	0.016591	0.000000	0.000000	0.000000	
8317	8.31600	0.018034	0.036067	-0.090169	-0.000000	0.000000	0.018034	0.000000	0.000000	0.000000	
8318	8.31700	0.000000	0.018034	-0.036067	-0.000000	0.000000	0.019476	0.000000	0.000000	0.000000	
8319	8.31800	0.036067	0.036067	-0.018034	-0.000000	0.000000	0.007213	0.000000	0.000000	0.000000	
8320	8.31900	0.018034	0.000000	-0.072135	-0.000000	0.000000	0.010820	0.000000	0.000000	0.000000	
8321	8.32000	0.018034	0.000000	-0.126236	-0.000000	0.000000	0.018034	0.000000	0.000000	0.000000	
8322	8.32100	0.018034	0.000000	-0.054101	-0.000000	0.000000	0.025247	0.000000	0.000000	0.000000	
8323	8.32200	0.000000	-0.036067	-0.036067	-0.000000	0.000000	0.018755	0.000000	0.000000	0.000000	
8324	8.32300	0.018034	-0.036067	-0.054101	-0.000000	0.000000	0.015148	0.000000	0.000000	0.000000	
8325	8.32400	0.000000	-0.036067	-0.054101	-0.000000	0.000000	0.014427	0.000000	0.000000	0.000000	
8326	8.32500	0.036067	-0.018034	-0.054101	-0.000000	0.000000	0.016591	0.000000	0.000000	0.000000	
8327	8.32600	0.036067	0.018034	-0.018034	-0.000000	0.000000	0.023804	0.000000	0.000000	0.000000	
8328	8.32700	0.000000	0.018034	-0.054101	-0.000000	0.000000	0.012263	0.000000	0.000000	0.000000	
