NO_OF_SAMPLES	23345
FREQUENCY	1000
TIME_STAMP	2024-03-28, 16:25:31.372	8765.20812810
FIRST_SAMPLE	8291
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Kistler Force Plates
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	6157649
FORCE_PLATE_CORNER_POSX_POSY_X	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Y	-409.999996
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	-810.000002
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	-810.000002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	-409.999996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	600.000024
FORCE_PLATE_WIDTH	400.000006
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
8335	8.33400	0.018034	0.054101	0.198371	0.028405	0.010222	0.021640	0.000000	0.000000	0.000000	
8336	8.33500	0.018034	0.090169	0.180337	0.030691	0.012050	0.025969	0.000000	0.000000	0.000000	
8337	8.33600	0.018034	0.072135	0.126236	0.056740	0.018738	0.023805	0.000000	0.000000	0.000000	
8338	8.33700	0.036067	0.072135	0.126236	0.055360	0.015134	0.027411	0.000000	0.000000	0.000000	
8339	8.33800	0.000000	0.054101	0.126236	0.061137	0.018224	0.029575	0.000000	0.000000	0.000000	
8340	8.33900	0.000000	0.054101	0.126236	0.056587	0.014113	0.029575	0.000000	0.000000	0.000000	
8341	8.34000	0.036067	0.090169	0.108202	0.106736	0.019998	0.029575	0.000000	0.000000	0.000000	
8342	8.34100	0.036067	0.036067	0.072135	-8.728291	-3.700818	0.031739	0.000000	0.000000	0.000000	
8343	8.34200	0.018034	0.072135	0.108202	0.054219	-0.001464	0.016591	0.000000	0.000000	0.000000	
8344	8.34300	0.018034	0.090169	0.072135	-1.615214	-0.954849	0.021640	0.000000	0.000000	0.000000	
8345	8.34400	0.000000	0.072135	0.090169	0.149391	0.026537	0.020198	0.000000	0.000000	0.000000	
8346	8.34500	0.018034	0.054101	0.090169	0.057721	0.013577	0.021640	0.000000	0.000000	0.000000	
8347	8.34600	0.000000	0.054101	0.072135	0.284393	0.070864	0.018034	0.000000	0.000000	0.000000	
8348	8.34700	0.000000	0.108202	0.108202	0.085038	0.019799	0.020198	0.000000	0.000000	0.000000	
8349	8.34800	-0.018034	0.036067	0.090169	0.073247	0.016887	0.023805	0.000000	0.000000	0.000000	
8350	8.34900	-0.018034	0.018034	0.054101	-6.912510	-2.912136	0.025969	0.000000	0.000000	0.000000	
8351	8.35000	0.000000	0.018034	0.090169	0.041902	0.006075	0.025247	0.000000	0.000000	0.000000	
8352	8.35100	-0.018034	0.054101	0.108202	0.060743	0.011253	0.021640	0.000000	0.000000	0.000000	
8353	8.35200	-0.036067	0.054101	0.090169	0.154498	0.031732	0.018034	0.000000	0.000000	0.000000	
8354	8.35300	-0.054101	0.072135	0.090168	-0.061010	-0.061314	0.023804	0.000000	0.000000	0.000000	
8355	8.35400	-0.018034	0.072135	0.054101	-2.296883	-1.452017	0.023805	0.000000	0.000000	0.000000	
8356	8.35500	-0.018034	0.090169	0.072135	0.051774	-0.037306	0.014427	0.000000	0.000000	0.000000	
8357	8.35600	-0.054101	0.126236	0.108202	0.014982	0.005260	0.018755	0.000000	0.000000	0.000000	
8358	8.35700	-0.054101	0.072135	0.054101	-2.030054	-0.929285	0.012263	0.000000	0.000000	0.000000	
8359	8.35800	-0.036067	0.072135	-0.000000	-0.000000	0.000000	0.008656	0.000000	0.000000	0.000000	
8360	8.35900	-0.036067	0.054101	0.036067	-1.514636	-0.827299	0.010820	0.000000	0.000000	0.000000	
8361	8.36000	0.000000	0.054101	0.000000	0.000000	-0.000000	0.018034	0.000000	0.000000	0.000000	
8362	8.36100	-0.018034	0.054101	0.018034	-195231.187500	-91817.281250	0.014427	0.000000	0.000000	0.000000	
8363	8.36200	0.000000	0.036067	0.054101	-2.928181	-1.404673	0.008656	0.000000	0.000000	0.000000	
8364	8.36300	0.000000	0.036067	0.090168	0.079412	-0.112738	0.017312	0.000000	0.000000	0.000000	
8365	8.36400	-0.036067	0.054101	0.000000	0.000000	-0.000000	0.015148	0.000000	0.000000	0.000000	
8366	8.36500	-0.018034	0.090169	-0.018034	-0.000000	0.000000	0.011542	0.000000	0.000000	0.000000	
8367	8.36600	0.000000	0.108202	0.036067	-1704.689453	-616.118835	0.012984	0.000000	0.000000	0.000000	
8368	8.36700	0.000000	0.054101	0.000000	0.000000	-0.000000	0.010820	0.000000	0.000000	0.000000	
8369	8.36800	0.018034	0.000000	0.090168	-0.026604	-0.081367	0.016591	0.000000	0.000000	0.000000	
8370	8.36900	0.000000	0.018034	0.072135	-0.101852	-0.143121	0.010820	0.000000	0.000000	0.000000	
8371	8.37000	-0.036067	0.054101	-0.018034	-0.000000	0.000000	0.003607	0.000000	0.000000	0.000000	
8372	8.37100	-0.036067	0.072135	0.126236	0.032246	0.020626	0.012984	0.000000	0.000000	0.000000	
8373	8.37200	0.000000	0.054101	0.072135	-0.335659	-0.106603	0.015148	0.000000	0.000000	0.000000	
8374	8.37300	0.018034	0.054101	0.000000	0.000000	-0.000000	0.011542	0.000000	0.000000	0.000000	
8375	8.37400	0.018034	0.036067	0.072135	-0.281797	-0.203502	0.013706	0.000000	0.000000	0.000000	
8376	8.37500	-0.018034	0.018034	0.036067	-2297.678955	-728.105774	0.018755	0.000000	0.000000	0.000000	
8377	8.37600	-0.018034	0.018034	0.036067	-51.606037	-13.731251	0.018755	0.000000	0.000000	0.000000	
8378	8.37700	-0.018034	0.036067	0.072135	0.060169	-0.064564	0.016591	0.000000	0.000000	0.000000	
8379	8.37800	-0.018034	0.054101	0.072135	0.225533	0.040065	0.018755	0.000000	0.000000	0.000000	
8380	8.37900	0.018034	0.054101	0.036067	-146.350754	-36.925148	0.023083	0.000000	0.000000	0.000000	
8381	8.38000	0.018034	0.036067	0.018034	-122662.296875	-48862.984375	0.016591	0.000000	0.000000	0.000000	
8382	8.38100	0.036067	0.018034	-0.036067	-0.000000	0.000000	0.015148	0.000000	0.000000	0.000000	
8383	8.38200	0.000000	0.054101	0.018034	-62724.414062	-14615.625977	0.015148	0.000000	0.000000	0.000000	
8384	8.38300	0.018034	0.072135	0.090169	0.059445	0.015276	0.009378	0.000000	0.000000	0.000000	
8385	8.38400	0.036067	0.072135	0.126236	0.020670	0.018572	0.012984	0.000000	0.000000	0.000000	
8386	8.38500	0.018034	0.036067	0.108202	0.143815	0.025111	0.009378	0.000000	0.000000	0.000000	
8387	8.38600	0.018034	0.036067	0.108202	0.078593	0.017920	0.013706	0.000000	0.000000	0.000000	
8388	8.38700	0.018034	0.054101	0.054101	1.098049	0.044029	0.011542	0.000000	0.000000	0.000000	
8389	8.38800	0.018034	0.054101	0.072135	0.154226	0.036159	0.011542	0.000000	0.000000	0.000000	
8390	8.38900	0.036067	0.036067	0.162303	0.030747	0.007062	0.017312	0.000000	0.000000	0.000000	
8391	8.39000	0.018034	0.018034	0.108202	0.051082	0.009968	0.011542	0.000000	0.000000	0.000000	
8392	8.39100	0.000000	0.018034	0.108202	0.041404	0.000000	0.015148	0.000000	0.000000	0.000000	
8393	8.39200	-0.036067	0.036067	0.090168	0.049535	0.010467	0.012984	0.000000	0.000000	0.000000	
8394	8.39300	-0.018034	0.036067	0.090168	0.028260	0.006085	0.005049	0.000000	0.000000	0.000000	
8395	8.39400	0.000000	0.036067	0.162303	0.022737	0.001855	0.020198	0.000000	0.000000	0.000000	
8396	8.39500	-0.018034	0.054101	0.144270	0.026425	0.002941	0.014427	0.000000	0.000000	0.000000	
8397	8.39600	0.036067	0.072135	0.090169	0.070070	0.016352	0.011542	0.000000	0.000000	0.000000	
8398	8.39700	0.000000	0.036067	0.090169	0.057440	-0.030843	0.014427	0.000000	0.000000	0.000000	
8399	8.39800	-0.036067	0.018034	0.090169	0.188039	0.037627	0.009378	0.000000	0.000000	0.000000	
8400	8.39900	-0.036067	0.036067	0.090169	0.384248	0.070078	0.014427	0.000000	0.000000	0.000000	
8401	8.40000	-0.018034	0.054101	0.144270	0.037072	0.011213	0.012984	0.000000	0.000000	0.000000	
