NO_OF_SAMPLES	27825
FREQUENCY	1000
TIME_STAMP	2024-04-17, 10:42:46.225	8425.06108820
FIRST_SAMPLE	2986
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Kistler Force Plates
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	6157649
FORCE_PLATE_CORNER_POSX_POSY_X	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Y	-409.999996
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	-810.000002
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	-810.000002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	-409.999996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	600.000024
FORCE_PLATE_WIDTH	400.000006
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
3031	3.03000	0.108202	0.126236	0.108202	0.047021	0.008576	0.019476	0.000000	0.000000	0.000000	
3032	3.03100	0.126236	0.126236	0.072135	-29.058065	-10.727512	0.030297	0.000000	0.000000	0.000000	
3033	3.03200	0.144270	0.144270	0.072135	-3.559664	-1.616280	0.024526	0.000000	0.000000	0.000000	
3034	3.03300	0.108202	0.108202	0.018034	-721813.375000	-120647.960938	0.024526	0.000000	0.000000	0.000000	
3035	3.03400	0.090168	0.108202	0.054101	-200.233322	-54.830460	0.028133	0.000000	0.000000	0.000000	
3036	3.03500	0.072135	0.144270	0.090169	-2.979278	-1.467536	0.024526	0.000000	0.000000	0.000000	
3037	3.03600	0.072135	0.108202	0.090169	0.946656	-0.371249	0.024526	0.000000	0.000000	0.000000	
3038	3.03700	0.090168	0.108202	0.126236	0.215221	-0.017039	0.025247	0.000000	0.000000	0.000000	
3039	3.03800	0.072135	0.144270	0.072135	-4.970289	-2.152031	0.028854	0.000000	0.000000	0.000000	
3040	3.03900	0.090168	0.108202	0.072135	-18.313677	-6.787352	0.020919	0.000000	0.000000	0.000000	
3041	3.04000	0.090168	0.144270	0.126236	-2.237802	-1.084167	0.020919	0.000000	0.000000	0.000000	
3042	3.04100	0.054101	0.108202	0.108202	0.359516	0.007269	0.020919	0.000000	0.000000	0.000000	
3043	3.04200	0.090168	0.090168	0.144270	0.133412	0.017311	0.030297	0.000000	0.000000	0.000000	
3044	3.04300	0.090168	0.144270	0.072135	-50.797649	-19.381548	0.028133	0.000000	0.000000	0.000000	
3045	3.04400	0.054101	0.090169	0.072135	2.149841	-0.552398	0.018755	0.000000	0.000000	0.000000	
3046	3.04500	0.072135	0.108202	0.108202	1.418398	0.188245	0.020198	0.000000	0.000000	0.000000	
3047	3.04600	0.090168	0.144269	0.162303	0.305145	0.064287	0.023805	0.000000	0.000000	0.000000	
3048	3.04700	0.090168	0.144269	0.126236	0.290089	0.046651	0.023805	0.000000	0.000000	0.000000	
3049	3.04800	0.072135	0.126236	0.108202	0.272202	-0.021690	0.029575	0.000000	0.000000	0.000000	
3050	3.04900	0.072135	0.090169	0.090168	-3.798237	-1.815019	0.029575	0.000000	0.000000	0.000000	
3051	3.05000	0.054101	0.090169	0.036067	-11391.497070	-2489.231934	0.025969	0.000000	0.000000	0.000000	
3052	3.05100	0.072135	0.126236	0.072135	3.764022	0.420773	0.022362	0.000000	0.000000	0.000000	
3053	3.05200	0.054101	0.126236	0.108202	0.720644	0.118587	0.018755	0.000000	0.000000	0.000000	
3054	3.05300	0.072135	0.090169	0.036068	-3722.917725	-696.567444	0.022362	0.000000	0.000000	0.000000	
3055	3.05400	0.108202	0.108202	0.000000	0.000000	-0.000000	0.020198	0.000000	0.000000	0.000000	
3056	3.05500	0.090168	0.126236	0.036068	-15731.100586	-3823.991211	0.021640	0.000000	0.000000	0.000000	
3057	3.05600	0.054101	0.108202	0.054101	-428.706635	-123.781281	0.023805	0.000000	0.000000	0.000000	
3058	3.05700	0.054101	0.108202	0.054101	-212.301300	-68.996361	0.023805	0.000000	0.000000	0.000000	
3059	3.05800	0.054101	0.144269	0.090169	-24.463610	-10.221651	0.023805	0.000000	0.000000	0.000000	
3060	3.05900	0.054101	0.144269	0.054101	-478.729431	-181.360397	0.016591	0.000000	0.000000	0.000000	
3061	3.06000	0.108202	0.126236	0.018034	-5822268.500000	-3117998.000000	0.025247	0.000000	0.000000	0.000000	
3062	3.06100	0.126236	0.126236	-0.018034	-0.000000	0.000000	0.021640	0.000000	0.000000	0.000000	
3063	3.06200	0.090168	0.162303	0.036067	-37490.242188	-14960.687500	0.021640	0.000000	0.000000	0.000000	
3064	3.06300	0.090168	0.126236	0.072135	-130.462082	-53.309048	0.021640	0.000000	0.000000	0.000000	
3065	3.06400	0.036067	0.090169	0.000000	0.000000	-0.000000	0.018034	0.000000	0.000000	0.000000	
3066	3.06500	0.054101	0.108202	0.000000	0.000000	-0.000000	0.019476	0.000000	0.000000	0.000000	
3067	3.06600	0.072135	0.108202	0.090168	0.292152	-0.098982	0.015870	0.000000	0.000000	0.000000	
3068	3.06700	0.054101	0.108202	0.000000	0.000000	-0.000000	0.019476	0.000000	0.000000	0.000000	
3069	3.06800	0.072135	0.108202	-0.018034	-0.000000	0.000000	0.015870	0.000000	0.000000	0.000000	
3070	3.06900	0.072135	0.126236	0.018034	-37780564.000000	-12550742.000000	0.028133	0.000000	0.000000	0.000000	
3071	3.07000	0.054101	0.126236	0.072135	-94.311127	-37.170975	0.020198	0.000000	0.000000	0.000000	
3072	3.07100	0.108202	0.144270	0.072135	-139.486313	-58.742092	0.023083	0.000000	0.000000	0.000000	
3073	3.07200	0.090168	0.162303	0.072135	-109.990051	-45.963348	0.028854	0.000000	0.000000	0.000000	
3074	3.07300	0.072135	0.144270	0.072135	-17.152842	-8.139174	0.018755	0.000000	0.000000	0.000000	
3075	3.07400	0.108202	0.162303	0.036067	-19595.496094	-9293.000000	0.025247	0.000000	0.000000	0.000000	
3076	3.07500	0.090168	0.162303	0.054101	-2616.592773	-1068.366333	0.021640	0.000000	0.000000	0.000000	
3077	3.07600	0.108202	0.180337	0.090168	-14.815268	-6.227036	0.015870	0.000000	0.000000	0.000000	
3078	3.07700	0.108202	0.180337	0.108202	-5.664375	-2.512017	0.023083	0.000000	0.000000	0.000000	
3079	3.07800	0.054101	0.126236	0.126236	-0.880019	-0.326652	0.024526	0.000000	0.000000	0.000000	
3080	3.07900	0.090168	0.162303	0.072135	-46.602646	-17.985823	0.024526	0.000000	0.000000	0.000000	
3081	3.08000	0.144270	0.180337	0.036067	-26190.794922	-10001.396484	0.030297	0.000000	0.000000	0.000000	
3082	3.08100	0.090168	0.144270	0.054101	-275.823975	-96.829315	0.029575	0.000000	0.000000	0.000000	
3083	3.08200	0.072135	0.108202	0.126236	0.261710	0.004601	0.018755	0.000000	0.000000	0.000000	
3084	3.08300	0.108202	0.108202	0.090168	-20.533062	-8.345224	0.023083	0.000000	0.000000	0.000000	
3085	3.08400	0.090168	0.108202	0.072135	-60.077366	-22.401609	0.015148	0.000000	0.000000	0.000000	
3086	3.08500	0.090168	0.108202	0.054101	-2985.327637	-926.491943	0.022362	0.000000	0.000000	0.000000	
3087	3.08600	0.072135	0.126236	0.054101	-498.384979	-149.314575	0.028133	0.000000	0.000000	0.000000	
